algorithm	localsearch	alpha	beta	rho	ants	q0	rasrank	elitistants	nnls	dlb
"acs"	"3"	2.63	9.47	0.15	29	0.6	NA	NA	15	"1"
"acs"	"3"	2.04	3.65	0.14	42	0.63	NA	NA	9	"1"
"acs"	"3"	2.96	7.39	0.15	44	0.34	NA	NA	16	"1"
"acs"	"3"	3.65	2.64	0.38	60	0.66	NA	NA	17	"1"
"acs"	"3"	3.79	6.23	0.42	62	0.4	NA	NA	20	"1"
"acs"	"3"	2.97	2.7	0.9	65	0.78	NA	NA	12	"0"
"acs"	"3"	2.51	3.07	0.52	48	0.42	NA	NA	7	"0"
"acs"	"3"	2.79	8.83	0.69	56	0.46	NA	NA	14	"1"
"acs"	"3"	4.65	5.79	0.63	76	0.57	NA	NA	10	"1"
"acs"	"3"	3.22	4.5	0.96	69	0.58	NA	NA	14	"1"
"acs"	"3"	2.91	5.24	0.05	33	0.63	NA	NA	17	"1"
"acs"	"3"	3.32	6.31	0.5	56	0.71	NA	NA	9	"0"
"acs"	"3"	1.73	4.82	0.46	37	0.34	NA	NA	16	"1"
"acs"	"3"	2	1.63	0.81	54	0.46	NA	NA	16	"1"
"acs"	"3"	1.47	4.38	0.7	33	0.24	NA	NA	12	"1"
"acs"	"3"	3.42	5.58	0.96	6	0.33	NA	NA	13	"1"
"acs"	"3"	2.49	3.6	0.81	61	0.38	NA	NA	13	"1"
"acs"	"3"	3.34	9.86	0.71	52	0.46	NA	NA	15	"1"
"acs"	"3"	4.71	9.12	0.58	61	0.06	NA	NA	12	"1"
