particles	topology	modInfluence	branching	tSchedule	phi1	phi2	inertia
52	"1"	"1"	NA	NA	2.42	1.2	0.57
56	"1"	"1"	NA	NA	2.34	1.19	0.62
164	"4"	"0"	NA	NA	1.1	2.48	0.63
183	"1"	"0"	NA	NA	2.28	2.09	0.72
118	"4"	"2"	NA	NA	0.21	1.66	0.73
82	"1"	"1"	NA	NA	2.06	1.64	0.85
114	"4"	"0"	NA	NA	1.97	2.18	0.76
186	"4"	"0"	NA	NA	1.31	2.25	0.7
101	"4"	"0"	NA	NA	0.14	2.13	0.38
195	"4"	"0"	NA	NA	0.72	2.28	0.45
81	"4"	"0"	NA	NA	1.84	2.14	0.85
89	"4"	"0"	NA	NA	1.8	1.99	0.74
174	"5"	"0"	NA	3	0.88	2.07	0.68
159	"4"	"0"	NA	NA	0.78	2.44	0.64
74	"4"	"0"	NA	NA	1.7	1.85	0.72
74	"4"	"0"	NA	NA	1.89	2.3	0.74
103	"4"	"0"	NA	NA	1.86	2.31	0.66
77	"4"	"0"	NA	NA	2.11	1.92	0.71
97	"4"	"0"	NA	NA	1.94	2.39	0.68
62	"4"	"0"	NA	NA	2.04	1.64	0.69
63	"4"	"0"	NA	NA	1.74	2.17	0.68
90	"4"	"0"	NA	NA	1.94	2.4	0.65
68	"4"	"0"	NA	NA	1.97	2.28	0.72
82	"0"	"0"	NA	NA	1.89	2.23	0.58
45	"1"	"0"	NA	NA	1.73	2.39	0.64
80	"4"	"2"	NA	NA	1.48	2.14	0.64
108	"0"	"0"	NA	NA	2.14	2.41	0.43
90	"4"	"0"	NA	NA	1.28	1.55	0.69
125	"4"	"2"	NA	NA	0.83	2.48	0.61
60	"4"	"0"	NA	NA	1.54	2.43	0.61
130	"4"	"0"	NA	NA	2.27	1.86	0.32
5	"4"	"1"	NA	NA	0.71	1.77	0.53
144	"4"	"0"	NA	NA	1.21	2.36	0.67
157	"4"	"0"	NA	NA	2.22	2.38	0.27
136	"4"	"2"	NA	NA	0.92	2.26	0.81
86	"4"	"0"	NA	NA	1.52	2.33	0.47
146	"4"	"2"	NA	NA	0.59	2.39	0.85
100	"4"	"0"	NA	NA	1.33	2.35	0.53
134	"4"	"2"	NA	NA	0.84	2.23	0.84
64	"4"	"0"	NA	NA	1.67	2.4	0.45
95	"4"	"0"	NA	NA	1.58	2.47	0.43
57	"4"	"0"	NA	NA	1.27	2.43	0.6
162	"4"	"2"	NA	NA	0.44	2.37	0.81
178	"4"	"0"	NA	NA	1.65	2.11	0.62
10	"5"	"2"	NA	10	1.89	1.09	0.25
22	"1"	"1"	NA	NA	2.36	1.87	0.08
13	"0"	"1"	NA	NA	2.24	2.46	0.35
8	"2"	"1"	NA	NA	1.48	0.8	0.3
17	"0"	"1"	NA	NA	2.49	2.38	0.33
52	"4"	"0"	NA	NA	1.74	2.32	0.5
82	"4"	"0"	NA	NA	2.31	2.45	0.64
29	"0"	"1"	NA	NA	2.43	2.29	0.14
9	"0"	"1"	NA	NA	2.07	1.51	0.2
13	"4"	"0"	NA	NA	2.01	2.1	0.37
92	"4"	"0"	NA	NA	2.05	2.12	0.73
54	"4"	"0"	NA	NA	2.37	2.42	0.54
85	"4"	"0"	NA	NA	2.15	2.28	0.55
65	"4"	"0"	NA	NA	2.08	2.49	0.67
101	"4"	"0"	NA	NA	2.35	2.41	0.57
101	"4"	"0"	NA	NA	2.07	2.33	0.48
93	"4"	"0"	NA	NA	2.16	2.46	0.52
44	"4"	"0"	NA	NA	2.39	2.42	0.53
77	"4"	"0"	NA	NA	2.2	2.31	0.48
62	"1"	"0"	NA	NA	1.12	2.17	0.51
31	"5"	"1"	NA	2	1.51	2.25	0.88
65	"4"	"0"	NA	NA	1.71	1.9	0.38
134	"0"	"0"	NA	NA	2.41	1.66	0.75
11	"0"	"0"	NA	NA	1.95	2.47	0.89
25	"4"	"0"	NA	NA	2.23	1.73	0.77
39	"4"	"0"	NA	NA	1.31	2.21	0.59
163	"0"	"0"	NA	NA	1.94	2.43	0.67
137	"0"	"0"	NA	NA	1.83	1.88	0.71
66	"4"	"0"	NA	NA	1.12	2.09	0.68
111	"0"	"0"	NA	NA	2.38	2.29	0.63
25	"4"	"0"	NA	NA	1.8	2.36	0.6
59	"4"	"0"	NA	NA	1.53	2.05	0.59
45	"4"	"0"	NA	NA	1.07	2.2	0.65
46	"4"	"0"	NA	NA	1.36	2.2	0.65
61	"4"	"0"	NA	NA	1.69	2.05	0.63
68	"4"	"0"	NA	NA	1.41	2.11	0.54
64	"4"	"0"	NA	NA	1.95	2.27	0.64
60	"4"	"0"	NA	NA	1.82	1.98	0.61
35	"4"	"0"	NA	NA	1.7	2.12	0.52
43	"4"	"0"	NA	NA	1.84	2.48	0.54
45	"4"	"0"	NA	NA	1.79	2.42	0.5
43	"4"	"0"	NA	NA	1.81	2.48	0.56
35	"4"	"0"	NA	NA	1.87	2.47	0.56
38	"4"	"0"	NA	NA	1.77	2.34	0.52
195	"0"	"0"	NA	NA	1.11	1.84	0.75
46	"1"	"0"	NA	NA	1.74	2.47	0.07
65	"4"	"0"	NA	NA	0.88	1.92	0.44
150	"4"	"0"	NA	NA	0.63	2.1	0.57
33	"2"	"0"	NA	NA	1.18	2.03	0.37
145	"4"	"2"	NA	NA	0.91	2.26	0.65
20	"4"	"0"	NA	NA	1.68	1.63	0.54
132	"4"	"0"	NA	NA	0.63	2.15	0.64
112	"4"	"0"	NA	NA	1.01	2.45	0.37
122	"4"	"0"	NA	NA	1.32	2.1	0.53
104	"4"	"0"	NA	NA	1.11	2.49	0.34
110	"4"	"0"	NA	NA	1.22	2	0.39
94	"4"	"0"	NA	NA	1.26	2.48	0.32
22	"4"	"0"	NA	NA	1.82	1.8	0.47
23	"4"	"0"	NA	NA	1.75	1.86	0.54
99	"4"	"0"	NA	NA	1.28	2.39	0.31
82	"4"	"0"	NA	NA	1.24	2.44	0.35
113	"4"	"0"	NA	NA	1.15	2.44	0.31
82	"4"	"0"	NA	NA	1.23	2.33	0.38
72	"4"	"0"	NA	NA	1.36	2.44	0.33
71	"1"	"0"	NA	NA	1.08	2.37	0.39
15	"2"	"0"	NA	NA	2.25	1.04	0.59
56	"4"	"0"	NA	NA	1.74	2.33	0.52
135	"4"	"0"	NA	NA	1.64	2.47	0.27
21	"0"	"0"	NA	NA	2.08	2.05	0.01
120	"4"	"0"	NA	NA	1.9	2.47	0.44
112	"4"	"0"	NA	NA	1.79	2.47	0.51
44	"1"	"0"	NA	NA	1.89	2.26	0.22
130	"4"	"0"	NA	NA	1.5	2.36	0.38
18	"0"	"0"	NA	NA	2.17	2.46	0.19
106	"4"	"0"	NA	NA	2.01	2.23	0.55
106	"4"	"0"	NA	NA	2.13	2.36	0.42
143	"4"	"0"	NA	NA	1.89	2.23	0.53
111	"4"	"0"	NA	NA	2.07	2.5	0.44
106	"4"	"0"	NA	NA	1.91	2.36	0.46
106	"4"	"0"	NA	NA	1.82	2.47	0.48
105	"4"	"0"	NA	NA	2.23	2.46	0.43
100	"4"	"0"	NA	NA	2.07	2.5	0.49
112	"4"	"0"	NA	NA	1.91	2.38	0.41
36	"0"	"0"	NA	NA	0.82	1.91	0.41
120	"0"	"0"	NA	NA	1.57	1.63	0.12
39	"4"	"0"	NA	NA	1.33	2.18	0.48
175	"4"	"0"	NA	NA	1.43	2	0.31
81	"4"	"2"	NA	NA	0.38	1.8	0.51
75	"4"	"0"	NA	NA	1.18	1.9	0.11
57	"4"	"0"	NA	NA	1.28	2.08	0.37
194	"4"	"0"	NA	NA	0.89	2.16	0.13
167	"4"	"0"	NA	NA	1.05	2.26	0.25
65	"4"	"0"	NA	NA	1.37	2.26	0.57
96	"4"	"0"	NA	NA	1.4	2.5	0.39
45	"4"	"0"	NA	NA	1.78	2.02	0.5
194	"4"	"0"	NA	NA	1.24	2.46	0.24
195	"4"	"0"	NA	NA	0.9	2.27	0.4
80	"4"	"0"	NA	NA	1.11	2.38	0.36
195	"4"	"0"	NA	NA	1.23	2.32	0.33
89	"4"	"0"	NA	NA	1.39	2.41	0.37
93	"4"	"0"	NA	NA	1.1	2.35	0.41
100	"4"	"0"	NA	NA	1.68	2.39	0.38
69	"4"	"0"	NA	NA	1.04	2.4	0.42
77	"4"	"0"	NA	NA	1.28	2.47	0.42
79	"4"	"0"	NA	NA	0.93	2.41	0.41
92	"4"	"0"	NA	NA	1.46	2.39	0.32
16	"4"	"0"	NA	NA	1.36	2.04	0.61
146	"0"	"0"	NA	NA	1.6	1.65	0.02
10	"5"	"0"	NA	5	1.13	0.87	0.41
75	"1"	"0"	NA	NA	0.38	2.16	0.23
5	"0"	"1"	NA	NA	1.97	1.67	0.72
22	"0"	"0"	NA	NA	1.88	1.54	0.53
65	"0"	"0"	NA	NA	0.51	1.35	0.53
70	"4"	"0"	NA	NA	0.27	1.95	0.24
27	"4"	"0"	NA	NA	1.97	1.85	0.86
7	"4"	"0"	NA	NA	1.1	1.81	0.63
51	"4"	"0"	NA	NA	1.21	2.23	0.73
23	"4"	"0"	NA	NA	0.97	2.2	0.47
59	"4"	"0"	NA	NA	0.84	2.21	0.65
33	"4"	"0"	NA	NA	0.99	1.99	0.65
57	"4"	"0"	NA	NA	0.59	2.22	0.56
52	"4"	"0"	NA	NA	1.07	2.09	0.65
47	"4"	"0"	NA	NA	0.91	2.46	0.66
68	"4"	"0"	NA	NA	0.68	2.44	0.6
21	"4"	"0"	NA	NA	0.85	2.26	0.48
5	"1"	"2"	NA	NA	1.28	2.3	0.28
14	"3"	"1"	NA	NA	1.47	1.64	0.21
50	"1"	"0"	NA	NA	0.75	2.44	0.13
154	"4"	"2"	NA	NA	1.99	2.24	0.53
116	"4"	"2"	NA	NA	1.83	2.39	0.47
25	"4"	"0"	NA	NA	1.27	2.5	0.23
21	"5"	"1"	NA	5	1.95	2.22	0.44
14	"0"	"1"	NA	NA	0.33	1.81	0.29
55	"1"	"0"	NA	NA	1.5	2.45	0.27
22	"0"	"1"	NA	NA	2.39	2.13	0.36
23	"1"	"2"	NA	NA	1.42	1.78	0.03
31	"1"	"0"	NA	NA	1.6	2.25	0.22
28	"4"	"2"	NA	NA	1.33	1.99	0.26
28	"0"	"1"	NA	NA	2.06	2.26	0.29
23	"0"	"1"	NA	NA	2.3	2.18	0.37
31	"0"	"1"	NA	NA	2.39	1.78	0.3
40	"0"	"1"	NA	NA	2.1	1.77	0.42
20	"0"	"1"	NA	NA	2.46	2.08	0.31
24	"0"	"1"	NA	NA	1.88	2.21	0.23
31	"0"	"1"	NA	NA	2.19	2.3	0.24
24	"0"	"1"	NA	NA	2.36	2.11	0.32
29	"0"	"1"	NA	NA	2.46	2.33	0.27
152	"1"	"0"	NA	NA	0.2	2.12	0.66
196	"4"	"0"	NA	NA	1.37	2.36	0.69
134	"4"	"1"	NA	NA	2.47	2.2	0.75
194	"1"	"1"	NA	NA	2.13	2.03	0.76
21	"1"	"0"	NA	NA	1.26	2	0.55
122	"4"	"0"	NA	NA	2.26	2.09	0.83
174	"4"	"0"	NA	NA	1.94	2.4	0.4
96	"1"	"2"	NA	NA	0.3	2.38	0.82
151	"4"	"1"	NA	NA	1.64	2.25	0.81
118	"4"	"0"	NA	NA	2.21	1.99	0.81
118	"4"	"0"	NA	NA	2.24	2.36	0.77
131	"4"	"0"	NA	NA	2.2	1.94	0.71
144	"4"	"2"	NA	NA	1.56	1.88	0.83
77	"1"	"2"	NA	NA	0.97	2.5	0.9
77	"4"	"1"	NA	NA	2.33	2.15	0.79
127	"4"	"0"	NA	NA	2.4	2.4	0.67
119	"4"	"0"	NA	NA	2.24	2.39	0.59
118	"4"	"0"	NA	NA	2.06	2.28	0.66
95	"4"	"0"	NA	NA	2.25	2.45	0.74
98	"4"	"0"	NA	NA	2.25	2.43	0.65
117	"4"	"0"	NA	NA	2.19	2.4	0.57
89	"4"	"0"	NA	NA	2.08	2.32	0.7
81	"4"	"0"	NA	NA	2.2	2.44	0.71
108	"4"	"0"	NA	NA	2.14	2.28	0.67
107	"4"	"2"	NA	NA	0.88	1.13	0.71
185	"4"	"2"	NA	NA	1.46	2.11	0.47
61	"4"	"0"	NA	NA	1.15	2.42	0.58
53	"4"	"0"	NA	NA	2.3	1.54	0.22
61	"1"	"0"	NA	NA	2.47	1.73	0.67
91	"4"	"0"	NA	NA	0.66	1.88	0.37
136	"4"	"0"	NA	NA	2.1	2.37	0.19
77	"4"	"0"	NA	NA	1.07	2.45	0.36
109	"4"	"0"	NA	NA	2.06	1.52	0.42
142	"4"	"0"	NA	NA	2.21	2.29	0.34
163	"4"	"0"	NA	NA	2.49	2.23	0.13
150	"4"	"0"	NA	NA	2.06	2.28	0.19
157	"4"	"0"	NA	NA	1.79	2.15	0.18
142	"4"	"0"	NA	NA	1.6	2.46	0.24
154	"4"	"0"	NA	NA	1.98	2.45	0.34
139	"4"	"0"	NA	NA	2.12	2.36	0.29
153	"4"	"0"	NA	NA	1.87	2.39	0.22
142	"4"	"0"	NA	NA	2.03	2.45	0.37
150	"4"	"0"	NA	NA	1.66	2.42	0.25
137	"4"	"0"	NA	NA	2.11	2.49	0.32
150	"4"	"0"	NA	NA	1.96	2.45	0.38
146	"4"	"0"	NA	NA	2.12	2.45	0.36
150	"4"	"0"	NA	NA	1.78	2.38	0.39
187	"4"	"0"	NA	NA	1.4	2.41	0.59
150	"4"	"0"	NA	NA	2.49	2.25	0.65
83	"1"	"0"	NA	NA	1.22	2.15	0.11
69	"0"	"0"	NA	NA	1.07	1.85	0.44
118	"1"	"0"	NA	NA	1.7	2.47	0.66
83	"4"	"0"	NA	NA	1.45	1.71	0.36
54	"1"	"0"	NA	NA	0.75	2.42	0.57
27	"4"	"0"	NA	NA	0.23	2.42	0.53
136	"4"	"0"	NA	NA	1.65	2.46	0.59
97	"4"	"0"	NA	NA	2.5	1.99	0.53
156	"4"	"0"	NA	NA	2.46	2.44	0.77
46	"4"	"0"	NA	NA	0.74	2.27	0.49
108	"4"	"0"	NA	NA	2.43	2.09	0.51
129	"4"	"0"	NA	NA	2.07	2.39	0.62
87	"4"	"0"	NA	NA	2.47	2.16	0.53
96	"4"	"0"	NA	NA	2.42	2.04	0.52
101	"4"	"0"	NA	NA	2.28	2.16	0.5
91	"4"	"0"	NA	NA	2.42	2.17	0.54
94	"4"	"0"	NA	NA	2.39	2.25	0.59
110	"4"	"0"	NA	NA	2.34	2.29	0.52
26	"1"	"0"	NA	NA	0.52	1.55	0.52
144	"4"	"0"	NA	NA	0.29	2.26	0.21
77	"1"	"0"	NA	NA	1.56	2.16	0.55
55	"1"	"0"	NA	NA	2.14	2.28	0.09
139	"0"	"0"	NA	NA	1.45	1.7	0.11
55	"0"	"0"	NA	NA	1.9	2.45	0.21
148	"0"	"0"	NA	NA	1.78	1.8	0.08
31	"5"	"0"	NA	8	2.16	2.06	0.23
128	"0"	"0"	NA	NA	0.75	2.31	0.39
39	"0"	"0"	NA	NA	2.3	2.17	0.03
79	"1"	"0"	NA	NA	2.16	2.34	0
5	"5"	"0"	NA	6	2.17	1.91	0.21
56	"0"	"0"	NA	NA	1.65	2.46	0.29
5	"5"	"0"	NA	5	2.25	2.08	0.22
36	"0"	"0"	NA	NA	2.2	2.23	0.06
11	"5"	"0"	NA	6	2.18	2.02	0.26
6	"5"	"0"	NA	6	2.43	2.33	0.21
59	"0"	"0"	NA	NA	1.64	2.39	0.22
3	"5"	"0"	NA	5	2.11	2.33	0.28
99	"4"	"1"	NA	NA	1.9	1.92	0.81
40	"1"	"2"	NA	NA	1.08	1.95	0.04
84	"4"	"0"	NA	NA	2.1	1.25	0.51
11	"2"	"1"	NA	NA	1.57	2.17	0.34
48	"0"	"1"	NA	NA	2.35	1.7	0.51
63	"1"	"1"	NA	NA	1.86	2.36	0.33
88	"1"	"1"	NA	NA	2.26	1.39	0.5
47	"0"	"1"	NA	NA	1.87	2.23	0.37
27	"0"	"1"	NA	NA	1.92	2.08	0.32
25	"1"	"1"	NA	NA	1.31	2.46	0.04
59	"0"	"1"	NA	NA	2.11	2.24	0.34
15	"0"	"1"	NA	NA	1.69	2.29	0.31
28	"0"	"1"	NA	NA	2.01	2.42	0.28
12	"0"	"1"	NA	NA	2.3	2.24	0.33
19	"0"	"1"	NA	NA	2.28	2.02	0.26
18	"0"	"1"	NA	NA	1.86	2.3	0.24
13	"0"	"1"	NA	NA	2.47	2.43	0.24
14	"0"	"1"	NA	NA	1.67	2.26	0.34
11	"4"	"1"	NA	NA	1.49	0.92	0.56
23	"2"	"0"	NA	NA	1.65	1.39	0.73
200	"1"	"0"	NA	NA	0.44	2.44	0.49
142	"0"	"0"	NA	NA	2.1	1.25	0.3
73	"4"	"0"	NA	NA	1.18	2.27	0.24
4	"1"	"1"	NA	NA	0.65	1.74	0.02
21	"5"	"1"	NA	10	2.05	1.64	0.44
174	"0"	"0"	NA	NA	1.95	2.17	0.38
138	"4"	"0"	NA	NA	1.7	2.1	0.52
23	"1"	"0"	NA	NA	1.96	2.36	0.25
177	"0"	"0"	NA	NA	2.16	2.11	0.44
15	"4"	"1"	NA	NA	2.14	2	0.37
149	"4"	"0"	NA	NA	1.24	2.43	0.4
4	"1"	"0"	NA	NA	1.72	2.03	0.1
21	"4"	"1"	NA	NA	2.15	1.99	0.31
120	"4"	"0"	NA	NA	1.44	2.35	0.54
145	"4"	"0"	NA	NA	1.7	2.07	0.5
144	"4"	"0"	NA	NA	1.09	2.46	0.41
149	"4"	"0"	NA	NA	1.24	2.45	0.42
123	"4"	"0"	NA	NA	1.5	2.38	0.51
80	"5"	"0"	NA	2	1.59	1.77	0.55
192	"4"	"0"	NA	NA	0.18	2.24	0.27
58	"1"	"2"	NA	NA	0.45	2.12	0.51
125	"5"	"0"	NA	5	1.66	2.46	0.61
90	"4"	"0"	NA	NA	1.74	1.69	0.77
19	"5"	"0"	NA	3	2.45	2.01	0.64
36	"1"	"0"	NA	NA	1.06	1.87	0.52
123	"4"	"0"	NA	NA	2.19	2.43	0.54
101	"4"	"0"	NA	NA	2.45	2.4	0.5
129	"4"	"0"	NA	NA	2.11	2.26	0.46
100	"4"	"0"	NA	NA	2.42	2.24	0.47
101	"4"	"0"	NA	NA	2.2	2.45	0.41
108	"4"	"0"	NA	NA	2.13	2.32	0.65
77	"4"	"0"	NA	NA	2.05	2.34	0.44
141	"4"	"0"	NA	NA	2.16	2.22	0.49
94	"4"	"0"	NA	NA	2.14	2.47	0.47
124	"4"	"0"	NA	NA	2.31	2.45	0.52
131	"4"	"0"	NA	NA	2.42	2.32	0.62
14	"1"	"0"	NA	NA	0.97	1.05	0.48
151	"4"	"1"	NA	NA	1.75	1.52	0.87
4	"0"	"1"	NA	NA	1.4	1.64	0.13
8	"1"	"1"	NA	NA	0.9	2.29	0.24
48	"0"	"1"	NA	NA	1.7	2.39	0.36
8	"0"	"1"	NA	NA	1.45	1.44	0.35
10	"0"	"1"	NA	NA	1.68	2.21	0.09
40	"0"	"1"	NA	NA	1.96	2.29	0.29
13	"0"	"1"	NA	NA	1.67	1.67	0.04
11	"0"	"1"	NA	NA	1.48	2.14	0.1
15	"0"	"1"	NA	NA	1.35	2.03	0.19
24	"0"	"1"	NA	NA	1.49	2.18	0.33
32	"0"	"1"	NA	NA	2.32	2.46	0.35
14	"0"	"1"	NA	NA	1.37	2.08	0.25
20	"0"	"1"	NA	NA	1.84	2.22	0.29
41	"3"	"2"	NA	NA	1.71	1.83	0.78
91	"1"	"0"	NA	NA	2.34	1.2	0.55
116	"4"	"0"	NA	NA	0.78	1.52	0.89
78	"4"	"1"	NA	NA	1.68	2.14	0.65
65	"4"	"0"	NA	NA	2.27	1.21	0.59
55	"4"	"0"	NA	NA	1.01	1.97	0.71
6	"2"	"2"	NA	NA	1.54	1.35	0.6
59	"4"	"2"	NA	NA	1.34	1.08	0.63
102	"4"	"0"	NA	NA	1.8	2.28	0.61
48	"4"	"2"	NA	NA	1.2	2.46	0.67
116	"4"	"2"	NA	NA	1.82	2.19	0.67
60	"1"	"0"	NA	NA	0.63	2.42	0.75
110	"4"	"0"	NA	NA	1.89	2.37	0.51
60	"4"	"0"	NA	NA	2.06	2.08	0.48
123	"4"	"2"	NA	NA	1.71	2.46	0.66
122	"4"	"0"	NA	NA	1.73	2.21	0.65
144	"4"	"0"	NA	NA	1.95	2.46	0.59
150	"4"	"0"	NA	NA	1.42	2.38	0.52
134	"4"	"0"	NA	NA	2.28	2.27	0.48
111	"4"	"0"	NA	NA	2.12	2.16	0.53
110	"4"	"0"	NA	NA	2.24	2.13	0.55
135	"4"	"0"	NA	NA	2.35	2.29	0.5
144	"4"	"0"	NA	NA	1.96	2.47	0.6
130	"4"	"0"	NA	NA	2.22	2.21	0.5
35	"1"	"1"	NA	NA	0.07	2.45	0.36
41	"1"	"2"	NA	NA	2.5	1.12	0.67
160	"4"	"0"	NA	NA	1.72	2.03	0.66
62	"4"	"0"	NA	NA	0.04	2.24	0.39
83	"4"	"0"	NA	NA	0.95	1.85	0.62
84	"4"	"0"	NA	NA	0.76	2.24	0.49
