algorithm	localsearch	alpha	beta	rho	ants	q0	rasrank	elitistants	nnls	dlb
"acs"	"3"	3.78	4.76	0.62	73	0.77	NA	NA	46	"1"
"acs"	"3"	2.57	0.09	0.76	22	0.21	NA	NA	12	"1"
"acs"	"3"	3.96	1.11	0.34	52	0.23	NA	NA	10	"0"
"acs"	"3"	3.43	3.2	0.34	58	0.27	NA	NA	29	"1"
"acs"	"3"	2.29	5.87	0.45	45	0.61	NA	NA	17	"1"
"acs"	"3"	2.6	7.93	0.67	59	0.82	NA	NA	16	"1"
"acs"	"3"	2.61	3.48	0.87	63	0.74	NA	NA	21	"1"
"acs"	"3"	1.11	6.61	0.83	30	0.75	NA	NA	8	"1"
"acs"	"3"	1.77	4.78	0.78	60	0.84	NA	NA	25	"1"
"acs"	"3"	2.85	5.25	0.82	72	0.74	NA	NA	14	"1"
"acs"	"3"	2.91	3.07	0.98	62	0.6	NA	NA	21	"1"
"acs"	"3"	1.15	5.22	0.84	34	0.75	NA	NA	13	"1"
"acs"	"3"	2.59	4.77	0.45	53	0.63	NA	NA	15	"1"
"acs"	"3"	3.03	4.63	0.8	71	0.76	NA	NA	14	"1"
"acs"	"3"	2.57	5.3	0.48	56	0.57	NA	NA	11	"1"
"acs"	"3"	2.6	4.39	0.93	68	0.76	NA	NA	12	"1"
"acs"	"3"	3.36	5.51	0.93	75	0.8	NA	NA	10	"1"
"acs"	"3"	2.28	6.05	0.84	58	0.84	NA	NA	15	"1"
"acs"	"3"	2.55	4.78	0.52	56	0.61	NA	NA	12	"1"
"acs"	"3"	2.05	5.47	0.82	62	0.82	NA	NA	11	"1"
"acs"	"3"	2.98	4.99	0.78	70	0.85	NA	NA	15	"1"
"acs"	"3"	2.42	4.99	0.57	58	0.64	NA	NA	13	"1"
"acs"	"3"	3	5.54	0.82	68	0.78	NA	NA	13	"1"
"acs"	"3"	2.27	4.27	0.66	53	0.56	NA	NA	12	"1"
"mmas"	"3"	3.85	3.67	0.1	22	NA	NA	NA	17	"1"
"acs"	"3"	4.06	1.84	0.2	29	0.27	NA	NA	19	"1"
"ras"	"3"	3.19	3.27	0.73	69	NA	29	NA	28	"1"
"acs"	"3"	2.97	3.1	0.31	53	0.4	NA	NA	21	"0"
"acs"	"3"	1.64	0.41	0.89	13	0.32	NA	NA	20	"1"
"acs"	"3"	2.93	1.18	0.98	14	0.18	NA	NA	13	"1"
"acs"	"3"	3.69	1.36	0.98	7	0.41	NA	NA	15	"1"
"acs"	"3"	1.53	1.82	0.64	25	0.17	NA	NA	11	"1"
"acs"	"3"	2.2	0.81	0.61	40	0.53	NA	NA	22	"1"
"acs"	"3"	1.9	3.49	0.67	20	0.32	NA	NA	11	"1"
"acs"	"3"	2.81	1.86	0.51	55	0.63	NA	NA	16	"1"
"acs"	"3"	1.83	2.29	0.78	44	0.41	NA	NA	17	"1"
"acs"	"3"	2.15	0.82	0.34	36	0.51	NA	NA	16	"1"
"acs"	"3"	1.84	2.49	0.89	35	0.29	NA	NA	20	"1"
"acs"	"3"	2.12	1.43	0.29	35	0.58	NA	NA	12	"1"
"acs"	"3"	2.53	1.01	0.79	55	0.42	NA	NA	12	"1"
"acs"	"3"	1.7	1.71	0.91	46	0.52	NA	NA	12	"1"
"acs"	"3"	1.82	1.98	0.96	28	0.27	NA	NA	20	"1"
"acs"	"3"	1.81	0.79	0.26	35	0.61	NA	NA	15	"1"
"acs"	"3"	2.7	1	0.75	55	0.49	NA	NA	14	"1"
"acs"	"3"	2.4	0.91	0.81	56	0.45	NA	NA	12	"1"
"acs"	"3"	2.64	1.55	0.78	61	0.44	NA	NA	14	"1"
"acs"	"3"	2.67	1.18	0.76	59	0.44	NA	NA	12	"1"
"acs"	"3"	2.42	1.14	0.77	59	0.53	NA	NA	12	"1"
"acs"	"3"	1.79	1.98	0.9	47	0.62	NA	NA	14	"1"
"mmas"	"3"	3.36	2.76	0.2	48	NA	NA	NA	26	"1"
"acs"	"3"	2.09	0.77	0.49	9	0.57	NA	NA	16	"1"
"acs"	"3"	3.11	5.06	0.14	25	0.42	NA	NA	28	"1"
"acs"	"3"	1.96	1.05	0.39	30	0.72	NA	NA	18	"1"
"acs"	"3"	2.82	1.7	0.26	28	0.78	NA	NA	21	"1"
"acs"	"3"	4.55	0.18	0.49	51	0.25	NA	NA	12	"1"
"acs"	"3"	3.37	2.66	0.69	10	0.6	NA	NA	13	"1"
"acs"	"3"	2.72	0.88	0.86	56	0.27	NA	NA	9	"1"
"acs"	"3"	2.6	0.59	0.35	31	0.43	NA	NA	15	"1"
"acs"	"3"	1.33	1.13	0.42	34	0.82	NA	NA	13	"1"
"acs"	"3"	1.94	0.79	0.7	49	0.62	NA	NA	21	"1"
"acs"	"3"	3.57	2.44	0.81	66	0.17	NA	NA	13	"1"
"acs"	"3"	2.73	2.29	0.61	64	0.77	NA	NA	15	"1"
"acs"	"3"	3.46	1.49	0.71	65	0.45	NA	NA	16	"1"
"acs"	"3"	3.47	1.69	0.64	60	0.12	NA	NA	11	"1"
"acs"	"3"	3.87	2.04	0.58	62	0.02	NA	NA	10	"1"
"acs"	"3"	2.74	1.75	0.67	63	0.66	NA	NA	12	"1"
"acs"	"3"	3.63	0.92	0.8	61	0.25	NA	NA	12	"1"
"acs"	"3"	2.59	2.66	0.66	64	0.76	NA	NA	13	"1"
"acs"	"3"	2.53	1.95	0.69	60	0.64	NA	NA	12	"1"
"acs"	"3"	2.76	2.89	0.66	68	0.81	NA	NA	14	"1"
"acs"	"3"	2.66	1	0.67	61	0.67	NA	NA	14	"1"
"acs"	"3"	2.84	0.34	0.69	33	0.46	NA	NA	8	"0"
"acs"	"3"	3.5	6.83	0.6	46	0.68	NA	NA	21	"0"
"acs"	"3"	2.26	3.07	0.84	22	0.39	NA	NA	15	"1"
"acs"	"3"	2.81	8.02	0.74	51	0.63	NA	NA	39	"1"
"acs"	"3"	2.19	2.76	0.7	37	0.17	NA	NA	19	"1"
"acs"	"3"	1.44	3.19	0.89	51	0.62	NA	NA	13	"1"
"acs"	"3"	2.36	5.23	0.8	59	0.32	NA	NA	21	"1"
"acs"	"3"	3.64	3.08	0.55	58	0.16	NA	NA	10	"1"
"acs"	"3"	2.28	0.83	0.84	11	0.15	NA	NA	19	"1"
"acs"	"3"	3.06	3.83	0.83	67	0.23	NA	NA	14	"1"
"acs"	"3"	1.75	4.95	0.91	47	0.23	NA	NA	17	"1"
"acs"	"3"	3.48	4.29	0.82	70	0.2	NA	NA	14	"1"
"acs"	"3"	2.12	5.31	0.95	54	0.14	NA	NA	18	"1"
"acs"	"3"	1.99	3.71	0.62	38	0.23	NA	NA	23	"1"
"acs"	"3"	1.77	5.14	0.84	41	0.4	NA	NA	19	"1"
"acs"	"3"	3.26	4.47	0.75	67	0.26	NA	NA	10	"1"
"acs"	"3"	3.15	5.49	0.75	64	0.26	NA	NA	14	"1"
"acs"	"3"	1.75	4.48	0.81	42	0.45	NA	NA	17	"1"
"acs"	"3"	3.45	4.43	0.77	66	0.26	NA	NA	15	"1"
"acs"	"3"	3.07	3.85	0.81	66	0.35	NA	NA	16	"1"
"acs"	"3"	3.39	4.17	0.75	65	0.29	NA	NA	14	"1"
"acs"	"3"	2.15	9.86	0.81	12	0.6	NA	NA	13	"1"
"acs"	"3"	1.49	3.53	0.97	25	0.26	NA	NA	22	"1"
"ras"	"3"	2.9	0.72	0.82	94	NA	9	NA	46	"0"
"acs"	"3"	3.5	9.04	0.23	49	0.32	NA	NA	39	"0"
"acs"	"3"	2.4	7.6	0.55	34	0.46	NA	NA	27	"0"
"acs"	"3"	3.12	6.43	0.56	21	0.38	NA	NA	10	"0"
"acs"	"3"	2.74	9.91	0.51	14	0.35	NA	NA	16	"0"
"acs"	"3"	2.35	7.46	0.52	14	0.71	NA	NA	14	"1"
"acs"	"3"	2.41	6.66	0.05	14	0.29	NA	NA	18	"1"
"acs"	"3"	2.26	0.75	0.96	39	0.15	NA	NA	13	"1"
"acs"	"3"	2.66	8.9	0.65	28	0.42	NA	NA	14	"1"
"acs"	"3"	1.63	6.96	0.75	9	0.73	NA	NA	14	"1"
"acs"	"3"	2.29	1.08	0.78	53	0.1	NA	NA	11	"1"
"acs"	"3"	1.38	7.07	0.6	15	0.81	NA	NA	11	"1"
"acs"	"3"	1.94	9.73	0.58	27	0.58	NA	NA	14	"1"
"acs"	"3"	2.18	8.73	0.71	42	0.44	NA	NA	12	"1"
"acs"	"3"	1.6	5.08	0.12	18	0.5	NA	NA	12	"1"
"acs"	"3"	1.9	8.6	0.54	26	0.61	NA	NA	14	"1"
"acs"	"3"	2.1	8.07	0.53	42	0.32	NA	NA	12	"1"
"acs"	"3"	2.26	9.02	0.59	41	0.5	NA	NA	16	"1"
"acs"	"3"	2.67	0.94	0.71	59	0.12	NA	NA	10	"1"
"acs"	"3"	1.91	9.78	0.79	35	0.38	NA	NA	13	"1"
"acs"	"3"	2.22	8.59	0.6	44	0.49	NA	NA	16	"1"
"acs"	"3"	1.96	8.28	0.48	45	0.37	NA	NA	13	"1"
"acs"	"3"	2.21	8.75	0.55	49	0.52	NA	NA	15	"1"
"acs"	"3"	2.29	9.44	0.57	44	0.56	NA	NA	17	"1"
"acs"	"3"	2.27	9.86	0.5	39	0.53	NA	NA	19	"1"
"acs"	"3"	1.84	1.67	0.55	42	0.65	NA	NA	42	"1"
"acs"	"3"	2.42	5.49	0.74	31	0.49	NA	NA	28	"1"
"acs"	"3"	2.39	6.34	0.54	34	0.32	NA	NA	15	"1"
"acs"	"3"	2.38	8.51	0.28	5	0.51	NA	NA	33	"1"
"acs"	"3"	4.1	0.69	0.53	22	0.85	NA	NA	22	"1"
"acs"	"3"	2.2	6.75	0.53	7	0.45	NA	NA	18	"1"
"acs"	"3"	2.95	7.29	0.95	58	0.6	NA	NA	18	"1"
"acs"	"3"	3.43	2.5	0.58	24	0.74	NA	NA	11	"1"
"acs"	"3"	2.29	7.14	0.53	37	0.32	NA	NA	31	"1"
"acs"	"3"	4.17	4.97	0.7	64	0.43	NA	NA	15	"1"
"acs"	"3"	1.94	6.26	0.8	45	0.62	NA	NA	16	"1"
"acs"	"3"	2.63	6.33	0.87	57	0.34	NA	NA	18	"1"
"acs"	"3"	1.98	6.09	0.56	45	0.28	NA	NA	11	"1"
"acs"	"3"	3.12	7.63	0.92	64	0.28	NA	NA	12	"1"
"acs"	"3"	3.27	6.85	0.92	65	0.29	NA	NA	11	"1"
"acs"	"3"	1.88	5.45	0.56	48	0.37	NA	NA	13	"1"
"acs"	"3"	3.13	7.09	0.92	64	0.24	NA	NA	12	"1"
"acs"	"3"	3.72	5.53	0.81	69	0.47	NA	NA	14	"1"
"acs"	"3"	3.51	6.55	0.93	64	0.19	NA	NA	13	"1"
"acs"	"3"	1.99	6.12	0.48	39	0.35	NA	NA	15	"1"
"acs"	"3"	3.65	7.01	0.89	66	0.4	NA	NA	14	"1"
"acs"	"3"	2.78	6.96	0.93	64	0.23	NA	NA	13	"1"
"acs"	"3"	3.16	6.8	0.98	67	0.25	NA	NA	12	"1"
"acs"	"3"	3.85	6.81	0.94	70	0.39	NA	NA	11	"1"
"acs"	"3"	3.33	6.46	1	68	0.26	NA	NA	14	"1"
"acs"	"3"	2.16	1.68	0.82	23	0.73	NA	NA	28	"0"
"acs"	"3"	2.51	6.6	0.54	6	0.16	NA	NA	47	"0"
"ras"	"3"	4.07	2.23	0.48	48	NA	42	NA	9	"0"
"ras"	"3"	3.84	3.32	0.25	74	NA	15	NA	37	"1"
"acs"	"3"	2.84	5.86	0.08	48	0.66	NA	NA	21	"1"
"acs"	"3"	4.88	2.59	0.99	84	0.98	NA	NA	18	"1"
"acs"	"3"	2.63	1.87	0.86	23	0.93	NA	NA	20	"1"
"acs"	"3"	2.76	6.76	0.39	31	0.46	NA	NA	28	"1"
"acs"	"3"	3.8	3.57	0.99	79	0.81	NA	NA	14	"1"
"acs"	"3"	1.88	3.86	0.29	34	0.6	NA	NA	16	"1"
"acs"	"3"	3.83	0.91	0.62	73	0.91	NA	NA	7	"1"
"acs"	"3"	4.19	0.15	0.86	69	0.68	NA	NA	21	"1"
"acs"	"3"	4.77	1.41	0.82	87	0.95	NA	NA	22	"1"
"acs"	"3"	4.19	4.44	0.97	80	0.81	NA	NA	12	"1"
"acs"	"3"	3.66	3.88	0.96	76	0.73	NA	NA	11	"1"
"acs"	"3"	4.77	2.1	0.98	83	0.84	NA	NA	13	"1"
"acs"	"3"	3.66	1.8	0.72	71	0.8	NA	NA	9	"1"
"acs"	"3"	3.76	3.36	0.88	76	0.89	NA	NA	14	"1"
"acs"	"3"	3.59	4.64	0.97	79	0.84	NA	NA	12	"1"
"acs"	"3"	3.98	4.18	0.97	83	0.85	NA	NA	8	"1"
"acs"	"3"	4.04	4.05	0.92	73	0.68	NA	NA	13	"1"
"acs"	"3"	3.41	4.82	0.99	73	0.82	NA	NA	12	"1"
"acs"	"3"	3.64	4.49	0.9	75	0.72	NA	NA	13	"1"
"acs"	"3"	3.17	3.38	0.99	72	0.73	NA	NA	12	"1"
"acs"	"3"	3.45	4.03	0.94	74	0.76	NA	NA	13	"1"
"acs"	"3"	3.53	3.94	0.97	78	0.74	NA	NA	10	"1"
"acs"	"3"	3.83	3.46	0.95	77	0.78	NA	NA	13	"1"
"acs"	"3"	3.05	3.65	0.94	72	0.73	NA	NA	12	"1"
"eas"	"3"	3.9	8.82	0.36	57	NA	NA	63	21	"1"
"acs"	"3"	3.8	6.99	0.52	23	0.25	NA	NA	16	"1"
"acs"	"3"	2.54	3.16	0.33	44	0.37	NA	NA	17	"1"
"acs"	"3"	4.19	8.38	0.58	45	0.32	NA	NA	16	"1"
"acs"	"3"	2.48	4.71	0.35	31	0.34	NA	NA	11	"1"
"acs"	"3"	3.31	7.64	0.46	31	0.35	NA	NA	21	"1"
"acs"	"3"	4.83	6.27	0.37	62	0.27	NA	NA	10	"1"
"acs"	"3"	2.83	3.84	0.67	55	0.35	NA	NA	21	"1"
"acs"	"3"	3.49	6.9	0.24	52	0.57	NA	NA	18	"1"
"acs"	"3"	2.54	4.82	0.57	38	0.23	NA	NA	15	"1"
"acs"	"3"	1.75	0.53	0.22	19	0.42	NA	NA	16	"1"
"acs"	"3"	2.07	0.46	0.5	36	0.61	NA	NA	14	"1"
"acs"	"3"	2.92	2.43	0.65	61	0.15	NA	NA	8	"1"
"acs"	"3"	4.95	3.88	0.43	66	0.4	NA	NA	14	"1"
"acs"	"3"	3.13	7.51	0.42	53	0.26	NA	NA	16	"1"
"acs"	"3"	3.27	8.77	0.33	50	0.73	NA	NA	9	"1"
"acs"	"3"	2.84	2.27	0.62	58	0.15	NA	NA	11	"1"
"acs"	"3"	2.22	0.6	0.63	49	0.5	NA	NA	12	"1"
"acs"	"3"	3.11	3.59	0.59	61	0.07	NA	NA	11	"1"
"acs"	"3"	2.7	2.98	0.61	57	0.14	NA	NA	9	"1"
"acs"	"3"	2.91	7.87	0.42	50	0.17	NA	NA	13	"1"
"acs"	"3"	3.16	8.37	0.42	50	0.2	NA	NA	16	"1"
"acs"	"3"	3.12	7.36	0.39	53	0.17	NA	NA	16	"1"
"acs"	"3"	2.96	8.13	0.43	49	0.2	NA	NA	13	"1"
"mmas"	"3"	4.16	5.07	0.14	38	NA	NA	NA	28	"1"
"acs"	"3"	4.86	0.23	0.93	70	0.26	NA	NA	40	"1"
"acs"	"3"	3.11	3.74	0.44	24	0.15	NA	NA	43	"0"
"mmas"	"3"	0.86	2.38	0.89	14	NA	NA	NA	21	"0"
"eas"	"3"	3.2	8.94	0.24	71	NA	NA	501	11	"1"
"acs"	"3"	2.96	3.5	0.85	69	0.1	NA	NA	8	"1"
"acs"	"3"	2.55	9.16	0.04	20	0.29	NA	NA	32	"1"
"mmas"	"3"	2.98	3.64	0.12	11	NA	NA	NA	23	"1"
"acs"	"3"	4.1	2.97	0.71	74	0.09	NA	NA	10	"1"
"acs"	"3"	2	5.31	0.94	49	0.07	NA	NA	7	"1"
"acs"	"3"	1.7	2.98	0.85	47	0.3	NA	NA	7	"0"
"acs"	"3"	2.54	4.47	0.68	52	0.31	NA	NA	10	"1"
"acs"	"3"	4.43	3.42	0.71	68	0.17	NA	NA	14	"1"
"acs"	"3"	3.36	4.15	0.83	63	0.1	NA	NA	16	"1"
"acs"	"3"	1.73	3.38	0.8	52	0.32	NA	NA	9	"1"
"acs"	"3"	2.85	3.75	0.87	62	0.3	NA	NA	13	"1"
"acs"	"3"	3.18	5.3	0.89	70	0.08	NA	NA	13	"1"
"acs"	"3"	3.01	4.6	0.73	61	0.15	NA	NA	18	"1"
"acs"	"3"	4.41	3.79	0.66	68	0.2	NA	NA	14	"1"
"acs"	"3"	2.89	3.4	0.89	68	0.25	NA	NA	11	"1"
"mmas"	"3"	1.75	7.26	0.6	29	NA	NA	NA	29	"1"
"mmas"	"3"	4.1	3.82	0.32	92	NA	NA	NA	50	"0"
"ras"	"3"	3.39	4.6	0.46	46	NA	24	NA	18	"0"
"ras"	"3"	3.98	1.87	0.94	95	NA	66	NA	20	"1"
"acs"	"3"	4.04	4.88	0.18	33	0.88	NA	NA	17	"1"
"acs"	"3"	2.88	4.47	0.22	53	0.84	NA	NA	12	"0"
"ras"	"3"	2.58	2.82	0.66	69	NA	13	NA	12	"0"
"acs"	"3"	5	6.34	0.54	5	0.63	NA	NA	14	"1"
"acs"	"3"	2.84	8.37	0.42	46	0.82	NA	NA	8	"0"
"acs"	"3"	3.46	9.32	0.39	43	0.55	NA	NA	15	"1"
"acs"	"3"	2.8	8.08	0.5	10	0.29	NA	NA	17	"1"
"acs"	"3"	3.96	2.3	0.13	64	0.8	NA	NA	13	"1"
"acs"	"3"	3.63	2.62	0.29	60	0.62	NA	NA	23	"1"
"acs"	"3"	2.26	4.32	0.76	63	0.54	NA	NA	14	"1"
"acs"	"3"	2.96	3.87	0.29	59	0.64	NA	NA	14	"1"
"acs"	"3"	2.29	4.54	0.27	52	0.91	NA	NA	11	"0"
"acs"	"3"	4.51	3	0.35	65	0.63	NA	NA	14	"1"
"acs"	"3"	2.45	3.55	0.29	52	0.53	NA	NA	16	"1"
"acs"	"3"	4.5	4.51	0.38	68	0.5	NA	NA	11	"1"
"acs"	"3"	4.03	2.67	0.34	68	0.73	NA	NA	14	"1"
"acs"	"3"	4.61	2.35	0.52	69	0.49	NA	NA	13	"1"
"acs"	"3"	4.35	2.5	0.35	66	0.59	NA	NA	14	"1"
"acs"	"3"	4.8	2.67	0.52	69	0.44	NA	NA	14	"1"
"acs"	"3"	4.52	3.61	0.38	64	0.55	NA	NA	13	"1"
"acs"	"3"	4.91	2.67	0.55	69	0.41	NA	NA	13	"1"
"acs"	"3"	4.3	2.68	0.36	66	0.6	NA	NA	14	"1"
"acs"	"3"	0.82	3.07	0.77	18	0.94	NA	NA	22	"1"
"acs"	"3"	4.49	4.16	0.69	25	0.71	NA	NA	27	"1"
"acs"	"3"	1.34	2.39	0.43	18	0.86	NA	NA	16	"1"
"acs"	"3"	0.98	3.58	0.37	20	0.84	NA	NA	13	"1"
"acs"	"3"	1.37	2.88	0.28	33	0.69	NA	NA	18	"1"
"acs"	"3"	2.05	2.46	0.22	36	0.69	NA	NA	14	"1"
"acs"	"3"	1.48	2.43	0.47	35	0.66	NA	NA	20	"1"
"acs"	"3"	2.08	3.7	0.38	45	0.54	NA	NA	25	"1"
"acs"	"3"	1.72	4.92	0.59	40	0.76	NA	NA	12	"1"
"acs"	"3"	1.71	1.46	0.59	44	0.61	NA	NA	10	"1"
"acs"	"3"	1.33	1.57	0.48	31	0.89	NA	NA	18	"1"
"acs"	"3"	2.57	4.46	0.37	47	0.5	NA	NA	23	"1"
"acs"	"3"	2.07	4.31	0.35	48	0.69	NA	NA	20	"1"
"acs"	"3"	1.84	2	0.53	47	0.63	NA	NA	14	"1"
"acs"	"3"	1.81	1.85	0.61	38	0.71	NA	NA	11	"1"
"acs"	"3"	2.55	5.07	0.35	49	0.53	NA	NA	20	"1"
"acs"	"3"	1.76	1.77	0.58	47	0.68	NA	NA	17	"1"
"acs"	"3"	1.98	5.02	0.42	50	0.73	NA	NA	19	"1"
"acs"	"3"	2.09	4.31	0.26	46	0.68	NA	NA	20	"1"
"acs"	"3"	1.83	1.96	0.57	52	0.67	NA	NA	19	"1"
"acs"	"3"	2.04	2.59	0.52	69	0.77	NA	NA	19	"1"
"acs"	"3"	3.21	4	0.91	76	0.51	NA	NA	24	"1"
"acs"	"3"	4.13	0.13	0.95	37	0.42	NA	NA	42	"1"
"acs"	"3"	3.87	2.09	0.56	63	0.53	NA	NA	9	"0"
"acs"	"3"	3.95	0.54	0.79	47	0.78	NA	NA	19	"1"
"acs"	"3"	3.83	3.38	0.39	57	0.59	NA	NA	18	"1"
"acs"	"3"	3.58	0.92	0.92	66	0.79	NA	NA	17	"1"
"acs"	"3"	3.39	0.54	0.32	46	0.46	NA	NA	8	"1"
"acs"	"3"	3.22	1.95	0.44	62	0.55	NA	NA	11	"1"
"acs"	"3"	2.38	1.95	0.63	61	0.59	NA	NA	14	"1"
"acs"	"3"	3.59	0.77	0.46	61	0.65	NA	NA	17	"1"
"acs"	"3"	3.85	3.23	0.33	63	0.75	NA	NA	10	"1"
"acs"	"3"	4.12	2.07	0.44	62	0.34	NA	NA	14	"1"
"acs"	"3"	4.17	0.87	0.78	68	0.75	NA	NA	15	"1"
"acs"	"3"	3.72	1.1	0.62	62	0.63	NA	NA	18	"1"
"acs"	"3"	4.05	1	0.46	62	0.41	NA	NA	16	"1"
"acs"	"3"	4.63	1.31	0.5	64	0.34	NA	NA	17	"1"
"acs"	"3"	4.24	2.66	0.4	62	0.43	NA	NA	19	"1"
"acs"	"3"	3.76	2.86	0.42	63	0.37	NA	NA	15	"1"
"acs"	"3"	4.75	2.12	0.39	64	0.46	NA	NA	16	"1"
"acs"	"3"	4.08	2.75	0.42	65	0.27	NA	NA	14	"1"
"acs"	"3"	4.21	2.45	0.49	66	0.43	NA	NA	12	"1"
"acs"	"3"	3.41	2.7	0.45	60	0.38	NA	NA	14	"1"
"acs"	"3"	3.55	9.91	0.67	27	0.73	NA	NA	26	"1"
"acs"	"3"	1.79	4.99	0.94	10	0.14	NA	NA	10	"1"
"acs"	"3"	2.96	3.58	0.62	14	0.38	NA	NA	15	"1"
"acs"	"3"	3.54	9.4	0.48	25	0.62	NA	NA	15	"1"
"acs"	"3"	4.02	2.84	0.56	39	0.13	NA	NA	30	"1"
"acs"	"3"	3.79	6.87	0.65	8	0.76	NA	NA	32	"1"
"acs"	"3"	2.38	1.36	0.84	23	0.05	NA	NA	12	"1"
"acs"	"3"	1.92	8.24	0.36	26	0.6	NA	NA	12	"1"
"acs"	"3"	2.81	5.02	0.5	53	0.32	NA	NA	13	"1"
"acs"	"3"	2.18	5.89	0.09	22	0.75	NA	NA	27	"1"
"acs"	"3"	2.7	9.49	0.13	35	0.79	NA	NA	20	"1"
"acs"	"3"	1.91	4.83	0.49	48	0.31	NA	NA	17	"1"
"acs"	"3"	2.72	5.66	0.64	57	0.2	NA	NA	17	"1"
"acs"	"3"	2.19	9.42	0.25	24	0.65	NA	NA	16	"1"
"acs"	"3"	2	5.2	0.45	45	0.36	NA	NA	18	"1"
"acs"	"3"	2.67	5.75	0.39	52	0.4	NA	NA	11	"1"
"acs"	"3"	2.01	6.97	0.32	42	0.35	NA	NA	16	"1"
"acs"	"3"	2.34	4.6	0.56	52	0.29	NA	NA	17	"1"
"acs"	"3"	3.38	6.36	0.66	62	0.18	NA	NA	12	"1"
"acs"	"3"	2.99	5.94	0.58	57	0.17	NA	NA	20	"1"
"acs"	"3"	3.16	5.66	0.67	62	0.14	NA	NA	10	"1"
"acs"	"3"	3.47	6.4	0.63	63	0.2	NA	NA	9	"1"
"acs"	"3"	2.31	5.77	0.4	48	0.4	NA	NA	12	"1"
"acs"	"3"	2.43	5.54	0.46	53	0.4	NA	NA	12	"1"
"acs"	"3"	3.23	6.78	0.7	64	0.14	NA	NA	12	"1"
"acs"	"3"	3.22	5.19	0.67	64	0.13	NA	NA	12	"1"
"acs"	"3"	3.26	5.85	0.63	63	0.14	NA	NA	10	"1"
"acs"	"3"	3.33	5.83	0.65	61	0.1	NA	NA	10	"1"
"ras"	"3"	2.32	0.05	0.64	26	NA	39	NA	38	"0"
"acs"	"3"	4.59	7.08	0.25	39	0.01	NA	NA	25	"0"
"mmas"	"3"	2.13	3.09	0.12	18	NA	NA	NA	10	"1"
"acs"	"2"	1.11	3.88	0.6	22	0.66	NA	NA	25	"1"
"acs"	"3"	4.22	1.73	0.57	8	0.34	NA	NA	32	"1"
"mmas"	"3"	4.22	8.31	0.24	47	NA	NA	NA	25	"1"
"acs"	"3"	2.52	5.97	0.74	23	0.09	NA	NA	14	"1"
"acs"	"3"	4.94	0.57	0.39	17	0.44	NA	NA	15	"1"
"acs"	"3"	4.82	6.78	0.44	55	0.37	NA	NA	23	"1"
"acs"	"3"	1.72	0.48	0.05	16	0.97	NA	NA	14	"1"
"acs"	"3"	1.45	7.77	0.92	25	0.35	NA	NA	12	"1"
"acs"	"3"	3.02	4.94	0.73	58	0.22	NA	NA	18	"1"
"acs"	"3"	2.14	5.46	0.68	51	0.2	NA	NA	28	"1"
"acs"	"3"	4.12	4.49	0.29	52	0.17	NA	NA	15	"1"
"acs"	"3"	2.47	2.56	0.22	43	0.21	NA	NA	17	"1"
